page_num, comment_pk, user_id, date, prod_choice, prod_rating, comment_likes, comment_body
1,__893533565,dais****,20.04.23.,옵션 : 유형선택: 04.데오 폼 타입,5,0,"제가 많이 민감한 편이라 여성청결제를 이것저것 많이 써봤는데 이게 제일 순한 느낌이네요^^ 젠틀이랑 데오 둘 다 써보고 잘 맞으면 이제 이걸로 정착할 예정이에요~ 아참, 서비스?로 여행용 샘플도 12개나 보내주셨어요 감사해요^.^"
1,__892441756,leeg****,20.04.02.,옵션 : 유형선택: 05.젠틀 폼타입 x2,4,0,배송도 빠르고 좋아요 폼이라 약간 헤푼건 있는건 같아요  비누로만 사용하다가 안좋다해서 처음 써보는건데 아직 더 써봐야 알듯요  포장에도 신경 좀 써주셨으면해요 하나가 뚜껑이 열린채 조금 흘러서 박스가 젖어있었어요
1,__892349795,lotu****,20.07.10.,옵션 : 유형선택: 04.데오 폼 타입,4,0,배송빠르게 잘 받았어요. 샘플도 챙겨주셔서 감사해요. 일단 폼으로 된거라 사용하기 편하고 좋네요. 나중에 한달 정도 써보면 더 장.단점 잘 알게 되겠죠. 일단 만족합니다~
1,__878777512,yu5t****,20.07.09.,옵션 : 유형선택: 04.데오 폼 타입,5,0,"임신했을때 다니던 산부인과 밑에 있던 약국에서 처음 사서 써보고 좋아서 출산하고 나서도 그뒤로 쭉 사용중이예요. 폼만 사용하고 있는데, 처음 썼을때 신세계였어요. 젤타입이나 리퀴드타입은 많이 써봤는데 거품이 잘 안나서 여러번 펌핑하거나 또는 많이 짜서 씻어야 개운한 느낌이 있었거든요. 근데 폼타입을 사용하니 거품이 풍성해서 소량으로도 충분히 상쾌한 느낌이예요. 분비물도 분비물인데 냄새가 항상 신경쓰였는데, 이 제품은 향도 너무 좋아서 만족스러워요."
1,__893534021,nigi****,20.07.09.,옵션 : 유형선택: 01.젠틀 젤 타입,5,0,"여성청결제 유목민이었는데, 써보니 이게 가장 선헌 것 같아요~ 더 써보고 괜찮으면 이걸로 정착할 예정입니다^^ 여행용 샘플도 12개나 주셔서 만족~ㅎㅎ"
1,__892352990,hyem****,20.06.18.,옵션 : 유형선택: 05.젠틀 폼타입 x2,5,0,"배송빠르게 잘 받았습니다. 상품,가격 다 만족합니다. 폼이라 사용편하구요. 좀 더 사용해 봐야 겠지만 전에 사용한제품이랑 큰 차이는 없는 것 같네요."
1,__886738335,lotu****,20.07.10.,옵션 : 유형선택: 01.젠틀 젤 타입,5,0,확실히 그냥 샤워젤하는거와  다릅니다. 세정력도 좋고 가려움도 줄여주는것같아요. 보라는 겔타입. 파랑은폼타입으로 구매해봤는데  잘선택한것같아요. 재구매할생각 백퍼입니다
1,__886739132,nigi****,20.07.09.,옵션 : 유형선택: 04.데오 폼 타입,4,0,가려움 완화 세정력. 향 다 만족합니다. 재구매의사 백퍼입니다
1,__846081948,auto****,20.07.01.,옵션 : 유형선택: 03. 데오 젤 타입 +250ml(증정),4,0,"지노베타케어는 첫번째로 부드러운 클렌징 위에  고민 별 케어를 한겹 더 올려주며, 항산화 물질을 함유하여  피부를 보호하는 이모르뗄 성분이 함유되어있어  데오컨트롤 라인은 너무나도 유명한 마법의 꽃  위치하젤이 냄새를 예방하고 더불어 이모르뗄 성분역시  가까워 향은 고튼 파우더향에 좋아요        텍스처는 폼 타입과 젤 타입이 있는데  폼의 경우 덜 자극적이게 와이존을 감사서 클렌징하고  젤의 경우 끈적이지 않고 촉촉하게 클렌징을 도와줘요  한국먼디파머는 약국 1위의 질염 치료제를  런칭 한 글로벌 제약사로 여성의 와이존을 위한 제품을 끊임없이 노력하고 있다고합니다.      실제로 여성청결제를 많이 사용햇는데 이번에 사용한 여성청결제는 진짜  확실히 많은 사람들이 사용해서 후기를 남길 정도로 훌륭한 제품 같아요   아무래도 Y존은 조금만 관리를 소홀히 하면 신경 쓰이는   문제들이 생기고는 하는데 저는 주 2~3회 정도 사용하는데 저랑 잘 맞더라구요    사용하면서도 뭔가 향기로운 꽃 향이 올라오니깐 기분도 좋구요   향이 도 강하지 않고, 사용하고나서도 제대로 된 상큼한? 이라고 해야하나  산뜻하게 씻겨진 느낌이라서 덩 벗이 만족스러워요   민감하고 예민한 피부라서 트러블이 생길까봐 걱정했는데  트러블 없이 사용후에도 제대로 씻은 느낌을  받을 수 있네요 "
1,__893166173,auto****,20.07.01.,옵션 : 유형선택: 03.데오 젤 타입,5,0,지금받고 사용전이에요.딸아이주려고샀구요 사은품감사합니다
1,__888610850,stea****,20.04.27.,옵션 : 유형선택: 04.데오 폼 타입,5,0,향기 좋아요.사용후 건조함은 없고 보습력이 있어  산뜻합니다 .두개 구입했는데 다쓰면 재구입할께요.
1,__888610320,mona****,20.07.10.,옵션 : 유형선택: 02.젠틀 폼 타입,4,0,향기 좋아요.사용후 건조함은 없고 보습력이 있어  산뜻합니다 .두개 구입했는데 다쓰면 재구입할께요.
1,__884455303,abcc****,20.07.03.,옵션 : 유형선택: 02. 젠틀프로텍션 폼 타입(200ml),5,0,한달사용기 잘사용하고 있습니다! 일단 세정력은 아주 좋아요ㅎㅎ 거품이 한번만 펌핑해도 풍성해서 부드럽게 잘 닦이는 느낌입니다^^ 향기도 너무 좋아요^^
1,__893143048,abcc****,20.07.03.,옵션 : 유형선택: 09.젠틀폼+데오폼 세트,5,0,한통 다쓰고 재주문 해요~ㅎㅎ  써본것 중에 이게 제일 좋은것 같네요
1,__894088153,yeli****,20.06.27.,옵션 : 유형선택: 04.데오 폼 타입,5,0,사은품도 잘받았습니다 여행갈때 좋을거같아요 향도 괜찮고 거품도 잘나요~
1,__892478933,dlqh****,20.07.10.,옵션 : 유형선택: 04.데오 폼 타입,3,0,향도 좋네요 가려움증이 해소됐음 좋겠네요
1,__891472346,aneu****,20.07.11.,옵션 : 유형선택: 09.젠틀폼+데오폼 세트,5,0,폼타입이 편해서 종류별로 두개샀어요 샘플도 주시고 감사~
1,__881953701,asy5****,20.07.09.,옵션 : 유형선택: 04.데오 폼 타입,5,0,받자마자 사용했는데 폼이라서 샤워할 때 가볍게 세정하기 더 편한거 같아요. 향은 진하지 않고 가까이 맡으면 은은하게 납니다. 산뜻한 느낌이라 좋네요. 다음에도 또 구매할게요 ㅎㅎ
